vehicleID,vehicleLID,diffBrakingDistanceMin,diffBrakingDistanceMax,diffBrakingDistanceValue,brakingDistanceMin,brakingDistanceMax,brakingDistanceValue,distanceMin,distanceMax,distanceValue,distanceTimestamp,vehPosMin,vehPosMax,vehPosValue,vehPosTimestamp,vehSpeedMin,vehSpeedMax,vehSpeedValue,vehSpeedTimestamp,refPosMin,refPosMax,refPosValue,refPosTimestamp,refSpeedMin,refSpeedMax,refSpeedValue,refSpeedTimestamp,vehDiseredDistance,refLength,currentTime
Vehicle3,Vehicle2,50.644400,50.644400,51.918371,3.595116,3.595116,4.049284,15.638206,15.638206,15.636235,145064229.415400,5.374239,5.374239,5.374239,145064229.415400,16.961383,16.961383,16.961383,145064229.415400,24.012445,24.012445,24.012445,145064229.415400,55.582216,55.582216,55.582216,145064229.415400,5.000000,3.000000,145064229.415400
Vehicle3,Vehicle2,52.634308,52.634308,54.028385,4.287064,4.287064,4.839082,16.418613,16.418613,16.416090,145064342.373700,6.381362,6.381362,6.381362,145064342.373700,18.523234,18.523234,18.523234,145064342.373700,25.799975,25.799975,25.799975,145064342.373700,56.923343,56.923343,56.923343,145064342.373700,5.000000,3.000000,145064342.373700
Vehicle3,Vehicle2,54.343881,54.343881,55.612137,5.025032,5.025032,5.568614,17.023983,17.023983,17.021895,145064442.562100,7.397212,7.397212,7.397212,145064442.562100,20.077504,20.077504,20.077504,145064442.562100,27.421195,27.421195,27.421195,145064442.562100,58.207617,58.207617,58.207617,145064442.562100,5.000000,3.000000,145064442.562100
Vehicle3,Vehicle2,55.938151,55.938151,57.226748,5.840805,5.840805,6.413592,17.610566,17.610566,17.608327,145064544.081100,8.488308,8.488308,8.488308,145064544.081100,21.621944,21.621944,21.621944,145064544.081100,29.098875,29.098875,29.098875,145064544.081100,59.445204,59.445204,59.445204,145064544.081100,5.000000,3.000000,145064544.081100
Vehicle3,Vehicle2,57.453785,57.453785,58.815306,6.701466,6.701466,7.325431,18.204049,18.204049,18.201697,145064649.448800,9.670904,9.670904,9.670904,145064649.448800,23.155047,23.155047,23.155047,145064649.448800,30.874953,30.874953,30.874953,145064649.448800,60.633124,60.633124,60.633124,145064649.448800,5.000000,3.000000,145064649.448800
Vehicle3,Vehicle2,58.894420,58.894420,60.312398,7.600733,7.600733,8.300211,18.801818,18.801818,18.799316,145064758.615200,10.947824,10.947824,10.947824,145064758.615200,24.675293,24.675293,24.675293,145064758.615200,32.749642,32.749642,32.749642,145064758.615200,61.772519,61.772519,61.772519,145064758.615200,5.000000,3.000000,145064758.615200
Vehicle3,Vehicle2,60.118343,60.118343,61.443131,8.563649,8.563649,9.232117,19.284540,19.284540,19.282372,145064860.073700,12.238251,12.238251,12.238251,145064860.073700,26.181261,26.181261,26.181261,145064860.073700,34.522792,34.522792,34.522792,145064860.073700,62.865469,62.865469,62.865469,145064860.073700,5.000000,3.000000,145064860.073700
Vehicle3,Vehicle2,61.283481,61.283481,62.676778,9.571177,9.571177,10.297622,19.789835,19.789835,19.787428,145064966.915900,13.631448,13.631448,13.631448,145064966.915900,27.671481,27.671481,27.671481,145064966.915900,36.421284,36.421284,36.421284,145064966.915900,63.917704,63.917704,63.917704,145064966.915900,5.000000,3.000000,145064966.915900
Vehicle3,Vehicle2,62.565638,62.565638,64.274659,10.608219,10.608219,11.551270,20.486490,20.486490,20.482956,145065096.413900,15.272178,15.272178,15.272178,145065096.413900,29.144990,29.144990,29.144990,145065096.413900,38.758668,38.758668,38.758668,145065096.413900,64.926544,64.926544,64.926544,145065096.413900,5.000000,3.000000,145065096.413900
Vehicle3,Vehicle2,63.414263,63.414263,64.663757,11.701119,11.701119,12.448507,20.850614,20.850614,20.847971,145065196.664400,16.744336,16.744336,16.744336,145065196.664400,30.601025,30.601025,30.601025,145065196.664400,40.594950,40.594950,40.594950,145065196.664400,65.888257,65.888257,65.888257,145065196.664400,5.000000,3.000000,145065196.664400
